policy_name,base_policy_name,policy_kwargs,reveal_seed,decision_type,step_name,selected_count_after_initial_seed
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1036 - Defense Evasion: Masquerading,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1036 - Defense Evasion: Masquerading,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1036 - Defense Evasion: Masquerading,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1498.001 - Impact: Direct Network Flood,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1498.001 - Impact: Direct Network Flood,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1498.001 - Impact: Direct Network Flood,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1571 - Defense Evasion: Non-Standard Port,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1571 - Defense Evasion: Non-Standard Port,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1571 - Defense Evasion: Non-Standard Port,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1583.005 - Resource Development: Acquire Botnet,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1583.005 - Resource Development: Acquire Botnet,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1583.005 - Resource Development: Acquire Botnet,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1584.005 - Resource Development: Build/Compromise Botnet,194
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1584.005 - Resource Development: Build/Compromise Botnet,194
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1590 - Reconnaissance: Gather Victim Network Information,194
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1590 - Reconnaissance: Gather Victim Network Information,194
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,T1595 - Reconnaissance: Active Scanning,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,T1595 - Reconnaissance: Active Scanning,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,T1595 - Reconnaissance: Active Scanning,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,T1595 - Reconnaissance: Active Scanning,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,T1595 - Reconnaissance: Active Scanning,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,all,TA0011 - Command-and-Control,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},101,stochastic_fragility,TA0011 - Command-and-Control,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,all,TA0011 - Command-and-Control,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},101,uniform_positive_fragility,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,all,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",101,softmax_fragility,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,all,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",101,softmax_fragility,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,all,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",101,softmax_fragility,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,all,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",101,softmax_fragility,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,all,TA0011 - Command-and-Control,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",101,softmax_fragility,TA0011 - Command-and-Control,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,all,T1036 - Defense Evasion: Masquerading,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,stochastic_fragility,T1036 - Defense Evasion: Masquerading,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,all,T1036 - Defense Evasion: Masquerading,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,uniform_positive_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,all,T1036 - Defense Evasion: Masquerading,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,softmax_fragility,T1036 - Defense Evasion: Masquerading,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,all,T1498.001 - Impact: Direct Network Flood,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,stochastic_fragility,T1498.001 - Impact: Direct Network Flood,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,all,T1498.001 - Impact: Direct Network Flood,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,uniform_positive_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,all,T1498.001 - Impact: Direct Network Flood,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,softmax_fragility,T1498.001 - Impact: Direct Network Flood,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,stochastic_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,uniform_positive_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,all,T1498.002 - Impact: Reflection/Amplification Attack,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,softmax_fragility,T1498.002 - Impact: Reflection/Amplification Attack,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,all,T1571 - Defense Evasion: Non-Standard Port,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,stochastic_fragility,T1571 - Defense Evasion: Non-Standard Port,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,all,T1571 - Defense Evasion: Non-Standard Port,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,uniform_positive_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,all,T1571 - Defense Evasion: Non-Standard Port,195
softmax_normalized_fragility_temp4.0,softmax_normalized_loo_fragility,"{""temperature"": 4.0}",202,softmax_fragility,T1571 - Defense Evasion: Non-Standard Port,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,all,T1583.005 - Resource Development: Acquire Botnet,195
stochastic_normalized_fragility,stochastic_normalized_loo_fragility,{},202,stochastic_fragility,T1583.005 - Resource Development: Acquire Botnet,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,all,T1583.005 - Resource Development: Acquire Botnet,195
uniform_positive_fragility,uniform_positive_loo_fragility,{},202,uniform_positive_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.25,softmax_normalized_loo_fragility,"{""temperature"": 0.25}",202,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp0.5,softmax_normalized_loo_fragility,"{""temperature"": 0.5}",202,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,all,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp1.0,softmax_normalized_loo_fragility,"{""temperature"": 1.0}",202,softmax_fragility,T1583.005 - Resource Development: Acquire Botnet,195
softmax_normalized_fragility_temp2.0,softmax_normalized_loo_fragility,"{""temperature"": 2.0}",202,all,T1583.005 - Resource Development: Acquire Botnet,195
