policy_name,baseline_policy,reveal_seed,budget,baseline_distance,policy_distance,difference_policy_minus_baseline,relative_difference_policy_minus_baseline,policy_better
stochastic_normalized_fragility,uniform_step_balanced,101,45,3.912812991994051e-06,3.912812991994051e-06,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,101,90,4.1108917086020235e-06,4.161543398494031e-06,5.0651689892007623e-08,0.012321338892488745,False
stochastic_normalized_fragility,uniform_step_balanced,101,180,6.333847635248736e-06,1.168918008837763e-05,5.355332453128895e-06,0.8455101482589715,False
stochastic_normalized_fragility,uniform_step_balanced,101,360,4.6234701779544244e-06,3.7905798415259585e-06,-8.328903364284659e-07,-0.18014398371159474,True
stochastic_normalized_fragility,uniform_step_balanced,101,720,1.4278469613406005e-06,1.608168777413781e-06,1.803218160731804e-07,0.1262893159809486,False
stochastic_normalized_fragility,uniform_step_balanced,101,1200,4.318871120098723e-06,3.265460311428015e-06,-1.053410808670708e-06,-0.2439088315852844,True
stochastic_normalized_fragility,uniform_step_balanced,101,1798,0.0,0.0,0.0,,False
stochastic_normalized_fragility,uniform_step_balanced,202,45,2.361828347314425e-05,2.361828347314425e-05,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,202,90,2.4160102406734272e-05,1.4799325319826253e-05,-9.360777086908019e-06,-0.38744774046565467,True
stochastic_normalized_fragility,uniform_step_balanced,202,180,1.0565559472077152e-05,1.1859875281357125e-05,1.294315809279972e-06,0.12250329125500763,False
stochastic_normalized_fragility,uniform_step_balanced,202,360,2.968381204316551e-06,1.3251253019159288e-05,1.0282871814842738e-05,3.4641345255419433,False
stochastic_normalized_fragility,uniform_step_balanced,202,720,7.425411143035425e-06,4.738616496478527e-06,-2.6867946465568976e-06,-0.3618378288826396,True
stochastic_normalized_fragility,uniform_step_balanced,202,1200,9.519297172429744e-06,1.5898587387373563e-05,6.379290214943819e-06,0.6701429842341546,False
stochastic_normalized_fragility,uniform_step_balanced,202,1798,0.0,0.0,0.0,,False
stochastic_normalized_fragility,uniform_step_balanced,303,45,3.4534796817123485e-05,3.4534796817123485e-05,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,303,90,5.77471568692702e-06,1.7854732804729528e-05,1.2080017117802508e-05,2.091880842748609,False
stochastic_normalized_fragility,uniform_step_balanced,303,180,1.594311687543048e-05,4.4774940540769706e-05,2.8831823665339227e-05,1.8084182591530265,False
stochastic_normalized_fragility,uniform_step_balanced,303,360,3.855806607827436e-06,8.34896685208442e-06,4.493160244256983e-06,1.1652970963677727,False
stochastic_normalized_fragility,uniform_step_balanced,303,720,3.856034750968391e-06,1.7443554006949426e-06,-2.111679350273448e-06,-0.5476297509360174,True
stochastic_normalized_fragility,uniform_step_balanced,303,1200,5.751304601422713e-06,2.015088699361376e-06,-3.736215902061337e-06,-0.6496292860470476,True
stochastic_normalized_fragility,uniform_step_balanced,303,1798,0.0,0.0,0.0,,False
stochastic_normalized_fragility,uniform_step_balanced,404,45,8.720407783977221e-05,8.720407783977221e-05,0.0,0.0,False
stochastic_normalized_fragility,uniform_step_balanced,404,90,5.932589304590522e-06,1.148217663852749e-05,5.549587333936969e-06,0.9354410104948284,False
stochastic_normalized_fragility,uniform_step_balanced,404,180,7.419963333463755e-06,8.032451089426014e-06,6.124877559622593e-07,0.082545927578909,False
